2019-10-11 21:05:22.129+0000 INFO  [o.n.k.i.f.CommunityEditionModule] No locking implementation specified, defaulting to 'community'
2019-10-11 21:05:22.333+0000 INFO  [o.n.k.AvailabilityGuard] Requirement makes database unavailable: Database available
2019-10-11 21:05:22.365+0000 INFO  [o.n.k.i.DiagnosticsManager] --- INITIALIZED diagnostics START ---
2019-10-11 21:05:22.366+0000 INFO  [o.n.k.i.DiagnosticsManager] Neo4j Kernel properties:
2019-10-11 21:05:22.366+0000 INFO  [o.n.k.i.DiagnosticsManager] unsupported.dbms.directories.neo4j_home=/11OCT2019/data/db
2019-10-11 21:05:22.366+0000 INFO  [o.n.k.i.DiagnosticsManager] unsupported.dbms.ephemeral=false
2019-10-11 21:05:22.366+0000 INFO  [o.n.k.i.DiagnosticsManager] dbms.memory.pagecache.size=512m
2019-10-11 21:05:22.366+0000 INFO  [o.n.k.i.DiagnosticsManager] dbms.allow_format_migration=true
2019-10-11 21:05:22.366+0000 INFO  [o.n.k.i.DiagnosticsManager] unsupported.dbms.edition=community
2019-10-11 21:05:22.366+0000 INFO  [o.n.k.i.DiagnosticsManager] dbms.directories.plugins=data/db/plugins
2019-10-11 21:05:22.366+0000 INFO  [o.n.k.i.DiagnosticsManager] dbms.security.procedures.unrestricted=*
2019-10-11 21:05:22.367+0000 INFO  [o.n.k.i.DiagnosticsManager] Diagnostics providers:
2019-10-11 21:05:22.367+0000 INFO  [o.n.k.i.DiagnosticsManager] org.neo4j.kernel.configuration.Config
2019-10-11 21:05:22.367+0000 INFO  [o.n.k.i.DiagnosticsManager] org.neo4j.kernel.info.DiagnosticsManager
2019-10-11 21:05:22.367+0000 INFO  [o.n.k.i.DiagnosticsManager] SYSTEM_MEMORY
2019-10-11 21:05:22.367+0000 INFO  [o.n.k.i.DiagnosticsManager] JAVA_MEMORY
2019-10-11 21:05:22.367+0000 INFO  [o.n.k.i.DiagnosticsManager] OPERATING_SYSTEM
2019-10-11 21:05:22.367+0000 INFO  [o.n.k.i.DiagnosticsManager] JAVA_VIRTUAL_MACHINE
2019-10-11 21:05:22.367+0000 INFO  [o.n.k.i.DiagnosticsManager] CLASSPATH
2019-10-11 21:05:22.367+0000 INFO  [o.n.k.i.DiagnosticsManager] LIBRARY_PATH
2019-10-11 21:05:22.367+0000 INFO  [o.n.k.i.DiagnosticsManager] SYSTEM_PROPERTIES
2019-10-11 21:05:22.367+0000 INFO  [o.n.k.i.DiagnosticsManager] NETWORK
2019-10-11 21:05:22.367+0000 INFO  [o.n.k.i.DiagnosticsManager] System memory information:
2019-10-11 21:05:22.381+0000 INFO  [o.n.k.i.DiagnosticsManager] Total Physical memory: 32.00 GB
2019-10-11 21:05:22.383+0000 INFO  [o.n.k.i.DiagnosticsManager] Free Physical memory: 3.19 GB
